Detector Type,Descroptor Type,Image0-1,Image1-2,Image2-3,Image3-4,Image4-5,Image5-6,Image6-7,Image7-8,Image8-9,
SHITOMASI,BRISK,83,80,71,77,74,69,76,81,69,
SHITOMASI,BRIEF,95,93,90,87,90,91,84,90,84,
SHITOMASI,ORB,85,84,84,89,87,75,81,87,87,
SHITOMASI,FREAK,66,66,62,61,62,63,59,65,61,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,110,108,102,101,98,98,93,105,95,
HARRIS,BRISK,11,9,10,11,16,14,12,20,16,
HARRIS,BRIEF,12,12,14,16,16,15,12,19,20,
HARRIS,ORB,11,11,14,16,18,18,12,20,19,
HARRIS,FREAK,11,9,13,13,13,17,10,16,17,
HARRIS,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HARRIS,SIFT,14,11,16,18,20,22,12,23,21,
FAST,BRISK,74,86,81,91,69,81,89,84,90,
FAST,BRIEF,82,95,86,99,87,94,108,101,87,
FAST,ORB,89,96,79,88,82,97,99,93,97,
FAST,FREAK,62,76,61,75,56,71,81,76,76,
FAST,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
FAST,SIFT,112,115,104,114,106,112,118,112,100,
BRISK,BRISK,136,138,132,139,136,154,136,147,155,
BRISK,BRIEF,136,160,129,140,147,153,157,158,145,
BRISK,ORB,92,102,85,94,82,112,112,114,118,
BRISK,FREAK,108,119,114,114,100,129,135,124,129,
BRISK,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
BRISK,SIFT,177,187,171,177,168,190,193,173,181,
ORB,BRISK,59,64,64,74,71,81,83,70,68,
ORB,BRIEF,35,37,37,53,42,57,57,59,58,
ORB,ORB,37,56,49,52,56,65,69,59,66,
ORB,FREAK,34,32,37,38,32,40,42,38,41,
ORB,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
ORB,SIFT,63,78,79,78,79,92,89,90,88,
AKAZE,BRISK,123,111,120,117,114,119,134,138,125,
AKAZE,BRIEF,105,116,110,107,116,128,133,134,128,
AKAZE,ORB,100,95,96,83,90,117,103,112,117,
AKAZE,FREAK,100,104,94,97,97,115,126,116,113,
AKAZE,AKAZE,126,127,124,116,120,132,137,138,141,
AKAZE,SIFT,132,134,129,136,136,147,147,153,149,
SIFT,BRISK,56,61,56,60,55,53,54,63,73,
SIFT,BRIEF,62,70,61,65,52,58,70,70,84,
SIFT,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SIFT,FREAK,58,61,52,63,51,51,48,53,65,
SIFT,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SIFT,SIFT,81,79,83,92,90,82,82,100,101,
